#goldschmidthappens
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Old Block,Josh Hader RP | MIL ,1,0.00,0.00,0.0,0,0,9999
,TOTALS,53,4.38,1.34,513.7,465,1,
Pablo's Ice Cream Truck
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
Pablo's Ice Cream Truck,Ender Inciarte CF | ATL ,3,29,85,522,8,16,0.291,142
Pablo's Ice Cream Truck,Franmil Reyes OF | SD,0,0,0,0,2,0,0.000,9999
Pablo's Ice Cream Truck,Jonathan Lucroy C | OAK ,24,81,67,490,3,5,0.292,72
Pablo's Ice Cream Truck,Aaron Hicks CF | NYY ,8,31,32,327,10,3,0.217,372
Pablo's Ice Cream Truck,Matt Carpenter 1B | STL ,21,68,81,473,13,0,0.271,110
Pablo's Ice Cream Truck,Gary Sanchez C | NYY ,20,42,34,201,29,1,0.298,199
Pablo's Ice Cream Truck,Brandon Crawford SS | SF ,12,84,67,553,2,7,0.275,113
Pablo's Ice Cream Truck,Matt Chapman 3B | OAK ,0,0,0,0,3,0,0.000,9999
Pablo's Ice Cream Truck,Manny Machado 3B | LAD ,37,96,105,640,65,0,0.294,18
Pablo's Ice Cream Truck,Trevor Story SS | COL ,27,72,67,372,15,8,0.272,79
Pablo's Ice Cream Truck,"Albert Pujols DH | LAA ",31,119,71,593,11,4,0.268,44
Pablo's Ice Cream Truck,Tommy Pham LF | TB ,9,17,26,159,10,2,0.226,9999
Pablo's Ice Cream Truck,Ian Happ CF | CHC ,0,0,0,0,18,0,0.000,9999
Pablo's Ice Cream Truck,Eduardo Nunez 3B | BOS ,16,67,73,553,3,40,0.287,37
Pablo's Ice Cream Truck,Khris Davis LF | OAK ,42,102,85,555,26,1,0.247,40
Pablo's Ice Cream Truck,Harrison Bader CF | STL,0,0,0,0,1,0,0.000,9999
,TOTALS,250,808,793,5438,219,87,0.273,
Pitchers
Avail,Player,Salary,ERA,WHIP,INN,K,S,Rank,
Pablo's Ice Cream Truck,Andrew Heaney SP | LAA ,4,6.00,1.17,6.0,7,0,753
Pablo's Ice Cream Truck,Mike Foltynewicz SP | ATL ,5,4.30,1.30,123.3,111,0,285
Pablo's Ice Cream Truck,Kevin Gausman SP | ATL ,9,3.61,1.28,179.7,174,0,179
Pablo's Ice Cream Truck,Raisel Iglesias RP | CIN ,17,2.53,1.14,78.3,83,6,256
Pablo's Ice Cream Truck,Kyle Hendricks SP | CHC ,14,2.13,0.98,190.0,170,0,31
Pablo's Ice Cream Truck,"Michael Wacha SP | STL ",2,5.09,1.48,138.0,114,0,495
Pablo's Ice Cream Truck,Rich Hill SP | LAD ,14,2.12,1.00,110.3,129,0,102
Pablo's Ice Cream Truck,Aaron Nola SP | PHI ,19,4.78,1.31,111.0,121,0,341
Pablo's Ice Cream Truck,Hector Rondon RP | HOU ,1,3.53,0.98,51.0,58,18,250
Pablo's Ice Cream Truck,Bud Norris RP | STL ,3,5.10,1.46,113.0,102,0,491
,TOTALS,88,3.67,1.22,1100.7,1069,24,
The League of Extraordinary Tradesmen
Batters
Avail,Player,HR,RBI,R,AB,Salary,SB,BA,Rank,
The League of Extraordinary Tradesmen,Rougned Odor 2B | TEX,33,88,89,605,13,14,0.271,30
The League of Extraordinary Tradesmen,Ryon Healy DH | SEA,13,37,36,269,8,0,0.305,234
The League of Extraordinary Tradesmen,Kurt Suzuki C | ATL,8,49,34,345,1,0,0.258,293
The League of Extraordinary Tradesmen,Brett Gardner LF | NYY,7,41,80,547,8,16,0.261,148
The League of Extraordinary Tradesmen,Brandon Nimmo LF | NYM ,1,6,12,73,4,0,0.274,626
The League of Extraordinary Tradesmen,"Zack Cozart SS | LAA ",16,50,67,464,4,4,0.252,169
The League of Extraordinary Tradesmen,"Yoenis Cespedes LF | NYM ",31,86,72,479,20,3,0.280,62
The League of Extraordinary Tradesmen,Marcell Ozuna LF | STL ,23,76,75,557,24,0,0.266,104
The League of Extraordinary Tradesmen,Kyle Seager 3B | SEA ,30,99,89,597,12,3,0.278,41
The League of Extraordinary Tradesmen,Tony Kemp LF | HOU,1,7,15,120,3,2,0.217,632
The League of Extraordinary Tradesmen,Cory Spangenberg 3B | SD ,1,8,6,48,5,1,0.229,663
The League of Extraordinary Tradesmen,Kyle Schwarber LF | CHC ,0,0,0,4,15,0,0.000,999
The League of Extraordinary Tradesmen,Martin Maldonado C | HOU ,8,21,21,208,2,1,0.202,483
The League of Extraordinary Tradesmen,Joey Gallo 3B | TEX ,1,1,2,25,10,1,0.040,977
The League of Extraordinary Tradesmen,Mookie Betts RF | BOS ,31,113,122,672,37,26,0.319,1
